번호,본부,사업소,팀,작업명,위험요인,안전조치방법
13,광주본부,광주전기사업소,변전팀,변압기 진단점검,기능실 출입문 단차에 의한 몸균형 상실로 인한 전도사고의 위험이 있다.,단차부에 ‘단차주의’ 표지 부착 운영
14,광주본부,광주전기사업소,변전팀,변압기 진단점검,계단 및 계측장비용 케이블을 작업현장 바닥에 포설하여 작업이동 시 걸려넘어져 다칠 우려가 있다.,작업현장 주의 보행(서드름 금지)
15,광주본부,광주전기사업소,변전팀,변압기 진단점검,계단 및 계측장비용 케이블을 작업현장 바닥에 포설하여 작업이동 시 걸려넘어져 다칠 우려가 있다.,계단을 뛰어서 이동하는 행위 금지
16,광주본부,광주전기사업소,변전팀,변압기 진단점검,계단 및 계측장비용 케이블을 작업현장 바닥에 포설하여 작업이동 시 걸려넘어져 다칠 우려가 있다.,케이블 포설 시 작업자 이동반경 고려하여 정리정돈 
17,광주본부,광주전기사업소,변전팀,변압기 진단점검,계단 및 계측장비용 케이블을 작업현장 바닥에 포설하여 작업이동 시 걸려넘어져 다칠 우려가 있다.,절연안전화 등 보호구 착용
18,광주본부,광주전기사업소,변전팀,변압기 진단점검,변압기 승주용 사다리 이용 중 추락의 위험이 있다.,사다리 승하강 안전교육(마지막 발판까지 발디딤 및 양손 사용)
19,광주본부,광주전기사업소,변전팀,변압기 진단점검,변압기 승주용 사다리 이용 중 추락의 위험이 있다.,웨어러블 에어백 안전조끼 착용
20,광주본부,광주전기사업소,변전팀,변압기 진단점검,변압기 상부의 작업자가 배관설비 등에 걸려 넘어지거나 추락할 위험이 있다.,작업 전 변압기 상부 배관 위치 주의 교육(작업환경 교육)
21,광주본부,광주전기사업소,변전팀,변압기 진단점검,변압기 상부의 작업자가 배관설비 등에 걸려 넘어지거나 추락할 위험이 있다.,주변압기 점검 시 안전요대 취부
22,광주본부,광주전기사업소,변전팀,변압기 진단점검,변압기 상부의 작업자가 배관설비 등에 걸려 넘어지거나 추락할 위험이 있다.,웨어러블 에어백 안전조끼 착용
23,광주본부,광주전기사업소,변전팀,변압기 진단점검,변압기 상부의 작업자가 배관설비 등에 걸려 넘어지거나 추락할 위험이 있다.,작업책임자의 상부작업자의 행동 및 상태 주의 감시
24,광주본부,광주전기사업소,변전팀,변압기 진단점검,주변압기 진단점검 중 1차측 피뢰기 특성 시험 중 결선을 위해 변압기 상부 이동 중 추락의 위험이 있다.,피뢰기 측정을 위한 사다리를 배치하여 이용 중
25,광주본부,광주전기사업소,변전팀,변압기 진단점검,주변압기 진단점검 중 1차측 피뢰기 특성 시험 중 결선을 위해 변압기 상부 이동 중 추락의 위험이 있다.,웨어러블 에어백 안전조끼 착용
26,광주본부,광주전기사업소,변전팀,변압기 진단점검,주변압기 진단점검 중 1차측 피뢰기 특성 시험 중 결선을 위해 변압기 상부 이동 중 추락의 위험이 있다.,분리된 모선을 단단히 고정 및 확인
27,광주본부,광주전기사업소,변전팀,변압기 진단점검,주변압기 진단점검 중 1차측 피뢰기 특성 시험 중 결선을 위해 변압기 상부 이동 중 추락의 위험이 있다.,안전모 착용
28,광주본부,광주전기사업소,변전팀,변압기 진단점검,시험전압 인가 시 충전부에 의한 감전의 위험이 있다.,작업 전 케이블 표면상태 확인 
29,광주본부,광주전기사업소,변전팀,변압기 진단점검,시험전압 인가 시 충전부에 의한 감전의 위험이 있다.,시험전압 인가 매 공정마다 지적확인환호응답(측정 중간마다 반복)
30,광주본부,광주전기사업소,변전팀,변압기 진단점검,시험전압 인가 시 충전부에 의한 감전의 위험이 있다.,가압 전 충전부 이격거리 확보
31,광주본부,광주전기사업소,변전팀,변압기 진단점검,시험전압 인가 시 충전부에 의한 감전의 위험이 있다.,전압인가 안전키(2개) 작업책임자와 장비취급자로 분리하여 관리
32,광주본부,광주전기사업소,변전팀,변압기 진단점검,시험전압 인가 시 충전부에 의한 감전의 위험이 있다.,유도전압 등에 의한 감전예방을 위해 작업자의 신체로부터 도전성 제품 패용품 제거
33,광주본부,광주전기사업소,변전팀,변압기 진단점검,절연유 시료 채유 후 바닥에 흘려 미끄러져 다칠 우려가 있다.,바닥에 흘린 절연유 즉각 제거
34,광주본부,광주전기사업소,변전팀,변압기 진단점검,변압기 진단점검 시 GIS설비의 접지개폐기 수동 취급 중 가해지는 과도한 힘의 사용으로 인한 몸균형 상실로 작업대에서 추락할 위험이 있다.,웨어러블 에어백 안전조끼 착용
35,광주본부,광주전기사업소,변전팀,변압기 진단점검,변압기 진단점검 시 GIS설비의 접지개폐기 수동 취급 중 가해지는 과도한 힘의 사용으로 인한 몸균형 상실로 작업대에서 추락할 위험이 있다.,접지개폐기의 조작범위 및 방향을 사전에 확인하고 적정한 힘으로 조작 
36,광주본부,광주전기사업소,변전팀,변압기 진단점검,"변압기 진단점검 후 접지개폐기가 투입된 상태로 차단기를 투입하여 직무안전사고(쇼트,지락)의 위험이 있다",작업내용 안전미팅 및 안전교육을 통한 기기 오취급 방지
37,광주본부,광주전기사업소,변전팀,변압기 진단점검,"변압기 진단점검 후 접지개폐기가 투입된 상태로 차단기를 투입하여 직무안전사고(쇼트,지락)의 위험이 있다",지적확인 환호응답 시행
38,광주본부,광주전기사업소,변전팀,차단기 진단점검,측정장비가 중량물로 운반ㆍ이동 및 차량적재 등 취급 시 다칠 우려가 있다,중량물 취급 안전교육 시행
39,광주본부,광주전기사업소,변전팀,차단기 진단점검,측정장비가 중량물로 운반ㆍ이동 및 차량적재 등 취급 시 다칠 우려가 있다,중량물표지 부착
40,광주본부,광주전기사업소,변전팀,차단기 진단점검,측정장비가 중량물로 운반ㆍ이동 및 차량적재 등 취급 시 다칠 우려가 있다,2인 1조 공동 운반
41,광주본부,광주전기사업소,변전팀,차단기 진단점검,야간 장거리 차량이동으로 교통안전사고의 위험이 있다.,"운전자의 상태 확인(휴양, 컨디션 등)"
42,광주본부,광주전기사업소,변전팀,차단기 진단점검,야간 장거리 차량이동으로 교통안전사고의 위험이 있다.,운전자 안전교육(과속엄금 등)
43,광주본부,광주전기사업소,변전팀,차단기 진단점검,야간 장거리 차량이동으로 교통안전사고의 위험이 있다.,보조석 탑승자의 전방감시 보조
44,광주본부,광주전기사업소,변전팀,차단기 진단점검,야간 장거리 차량이동으로 교통안전사고의 위험이 있다.,졸음운전방지기구 설치 운영 중
45,광주본부,광주전기사업소,변전팀,차단기 진단점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 질식 등 안전사고의 위험이 있다.,이산화탄소소화설비 안전교육
46,광주본부,광주전기사업소,변전팀,차단기 진단점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 질식 등 안전사고의 위험이 있다.,솔레노이드 연동밸드 잠금 등 안전조치 (조작금지표지 부착 포함) 후 진입
47,광주본부,광주전기사업소,변전팀,차단기 진단점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 질식 등 안전사고의 위험이 있다.,작업 중 싸이렌 발생 시 30초 이내 대피 교육
48,광주본부,광주전기사업소,변전팀,차단기 진단점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 질식 등 안전사고의 위험이 있다.,작업종료 후 원상조치 시 반드시 작업현장에서 작업원 철수 후 조작
49,광주본부,광주전기사업소,변전팀,차단기 진단점검,계단이용 및 계측장비용 케이블을 작업현장 바닥에 포설하여 작업이동 시 걸려넘어져 다칠 우려가 있다.,작업현장 주의 보행(서드름 금지)
50,광주본부,광주전기사업소,변전팀,차단기 진단점검,계단이용 및 계측장비용 케이블을 작업현장 바닥에 포설하여 작업이동 시 걸려넘어져 다칠 우려가 있다.,계단을 뛰어서 이동하는 행위 금지
51,광주본부,광주전기사업소,변전팀,차단기 진단점검,계단이용 및 계측장비용 케이블을 작업현장 바닥에 포설하여 작업이동 시 걸려넘어져 다칠 우려가 있다.,케이블 포설 시 작업자 이동반경 고려하여 정리정돈 
52,광주본부,광주전기사업소,변전팀,차단기 진단점검,계단이용 및 계측장비용 케이블을 작업현장 바닥에 포설하여 작업이동 시 걸려넘어져 다칠 우려가 있다.,절연안전화 등 보호구 착용
53,광주본부,광주전기사업소,변전팀,차단기 진단점검,접지개폐기 수동 취급 중 가해지는 과도한 힘의 사용으로 인한 몸균형 상실로 GIS설비 점검용 작업대 및 붙이형 사다리에서 추락할 위험이 있다.,사다리 승하강 안전교육(마지막 발판까지 발디딤 및 양손 사용)
54,광주본부,광주전기사업소,변전팀,차단기 진단점검,접지개폐기 수동 취급 중 가해지는 과도한 힘의 사용으로 인한 몸균형 상실로 GIS설비 점검용 작업대 및 붙이형 사다리에서 추락할 위험이 있다.,웨어러블 에어백 안전조끼 착용
55,광주본부,광주전기사업소,변전팀,차단기 진단점검,접지개폐기 수동 취급 중 가해지는 과도한 힘의 사용으로 인한 몸균형 상실로 GIS설비 점검용 작업대 및 붙이형 사다리에서 추락할 위험이 있다.,접지개폐기의 조작범위 및 방향을 사전에 확인하고 적정한 힘으로 조작 
56,광주본부,광주전기사업소,변전팀,차단기 진단점검,GIS설비는 낮은 높이의 밀집된 시설물로 이동 시 머리를 부딪힐 위험이 있다.,머리충돌 방지 위험표지 부착
57,광주본부,광주전기사업소,변전팀,차단기 진단점검,GIS설비는 낮은 높이의 밀집된 시설물로 이동 시 머리를 부딪힐 위험이 있다.,안전모 착용
58,광주본부,광주전기사업소,변전팀,차단기 진단점검,GIS설비는 낮은 높이의 밀집된 시설물로 이동 시 머리를 부딪힐 위험이 있다.,작업 전 작업환경 사전 인지
59,광주본부,광주전기사업소,변전팀,차단기 진단점검,GIS설비는 기초부와 본체의 각종 가스배관 등의 돌출부가 많아 이동 시 걸려넘어져 다칠 위험이 있다.,이동통로 조명 확보
60,광주본부,광주전기사업소,변전팀,차단기 진단점검,GIS설비는 기초부와 본체의 각종 가스배관 등의 돌출부가 많아 이동 시 걸려넘어져 다칠 위험이 있다.,실내에서 속보이동 금지(주의보행)
61,광주본부,광주전기사업소,변전팀,차단기 진단점검,GIS설비는 기초부와 본체의 각종 가스배관 등의 돌출부가 많아 이동 시 걸려넘어져 다칠 위험이 있다.,작업 전 작업환경 사전 인지
62,광주본부,광주전기사업소,변전팀,차단기 진단점검,GIS설비 상부 작업자가 작업대 이외의 부분을 발디딤하여 미끄러져 추락할 위험이 있다.,측정포인트 이동 시 반드시 당해 설비의 작업대 또는 우마사다리 사용
63,광주본부,광주전기사업소,변전팀,차단기 진단점검,GIS설비 상부 작업자가 작업대 이외의 부분을 발디딤하여 미끄러져 추락할 위험이 있다.,웨어러블 에어백 안전조끼 착용
64,광주본부,광주전기사업소,변전팀,차단기 진단점검,GIS설비 상부 작업자가 작업대 이외의 부분을 발디딤하여 미끄러져 추락할 위험이 있다.,작업책임자의 상부작업자의 행동 및 상태 주의 감시
65,광주본부,광주전기사업소,변전팀,차단기 진단점검,계측장비의 제어배선을 현장조작반(LCP)과 결선 중 제어전원의 충전부에 감전될 우려가 있다. ,결선 전 반드시 전원부 위치 확인
66,광주본부,광주전기사업소,변전팀,차단기 진단점검,계측장비의 제어배선을 현장조작반(LCP)과 결선 중 제어전원의 충전부에 감전될 우려가 있다. ,전원(110V) 결선 시 장갑 착용
67,광주본부,광주전기사업소,변전팀,차단기 진단점검,절연저항 측정 관련 시험전압 인가 시 충전부에 의한 감전의 위험이 있다.,작업 전 케이블 표면상태 확인 
68,광주본부,광주전기사업소,변전팀,차단기 진단점검,절연저항 측정 관련 시험전압 인가 시 충전부에 의한 감전의 위험이 있다.,시험전압 인가 매 공정마다 지적확인환호응답(측정 중간마다 반복)
69,광주본부,광주전기사업소,변전팀,차단기 진단점검,절연저항 측정 관련 시험전압 인가 시 충전부에 의한 감전의 위험이 있다.,가압 전 충전부 이격거리 확보
70,광주본부,광주전기사업소,변전팀,차단기 진단점검,절연저항 측정 관련 시험전압 인가 시 충전부에 의한 감전의 위험이 있다.,유도전압 등에 의한 감전예방을 위해 작업자의 도전성 제품 패용 제거
71,광주본부,광주전기사업소,변전팀,차단기 진단점검,"차단기 진단점검 시 오결선으로 인한 쇼트, 지락사고의 위험이 있다.",결선 전 단자번호 위치 숙지
72,광주본부,광주전기사업소,변전팀,차단기 진단점검,"차단기 진단점검 시 오결선으로 인한 쇼트, 지락사고의 위험이 있다.",결선 시 장갑 착용
73,광주본부,광주전기사업소,변전팀,차단기 진단점검,"차단기 진단점검 시 오결선으로 인한 쇼트, 지락사고의 위험이 있다.",오취급 및 오결선 방지를 위한 공통 단자대 설치
74,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,장거리 차량이동으로 교통안전사고의 위험이 있다.,"운전자의 상태 확인(휴양, 컨디션 등)"
75,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,장거리 차량이동으로 교통안전사고의 위험이 있다.,운전자 안전교육(과속엄금 등)
76,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,장거리 차량이동으로 교통안전사고의 위험이 있다.,보조석 탑승자의 전방감시 보조
77,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,장거리 차량이동으로 교통안전사고의 위험이 있다.,졸음운전방지기구 설치 운영 중
78,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 질식 등 안전사고의 위험이 있다.,이산화탄소소화설비 안전교육
79,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 질식 등 안전사고의 위험이 있다.,솔레노이드 연동밸드 잠금 등 안전조치 (조작금지표지 부착 포함) 후 진입
80,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 질식 등 안전사고의 위험이 있다.,작업 중 싸이렌 발생 시 30초 이내 대피 교육
81,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,작업현장은 이산화탄소소화설비 설치개소로 누출 시 질식 등 안전사고의 위험이 있다.,작업종료 후 원상조치 시 반드시 작업현장에서 작업원 철수 후 조작
82,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,실내 및 계단 이동 시 미끄러져 다칠 우려가 있다.,작업현장 주의 보행(서드름 금지)
83,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,실내 및 계단 이동 시 미끄러져 다칠 우려가 있다.,계단을 뛰어서 이동하는 행위 금지
84,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,실내 및 계단 이동 시 미끄러져 다칠 우려가 있다.,절연안전화 등 보호구 착용
85,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,GIS설비는 낮은 높이의 밀집된 시설물로 이동 시 머리를 부딪힐 위험이 있다.,머리충돌 방지 위험표지 부착
86,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,GIS설비는 낮은 높이의 밀집된 시설물로 이동 시 머리를 부딪힐 위험이 있다.,안전모 착용
87,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,GIS설비는 낮은 높이의 밀집된 시설물로 이동 시 머리를 부딪힐 위험이 있다.,작업 전 작업환경 사전 인지
88,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,GIS설비는 기초부와 본체의 각종 가스배관 등의 돌출부가 많아 이동 시 걸려넘어져 다칠 위험이 있다.,이동통로 조명 확보
89,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,GIS설비는 기초부와 본체의 각종 가스배관 등의 돌출부가 많아 이동 시 걸려넘어져 다칠 위험이 있다.,실내에서 속보이동 금지(주의보행)
90,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,GIS설비는 기초부와 본체의 각종 가스배관 등의 돌출부가 많아 이동 시 걸려넘어져 다칠 위험이 있다.,작업 전 작업환경 사전 인지
91,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,GIS설비 상부 작업자가 작업대 이외의 부분을 발디딤하여 미끄러져 추락할 위험이 있다.,측정포인트 이동 시 반드시 당해 설비의 작업대 또는 우마사다리 사용
92,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,GIS설비 상부 작업자가 작업대 이외의 부분을 발디딤하여 미끄러져 추락할 위험이 있다.,웨어러블 에어백 안전조끼 착용
93,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,GIS설비 상부 작업자가 작업대 이외의 부분을 발디딤하여 미끄러져 추락할 위험이 있다.,작업책임자의 상부작업자의 행동 및 상태 주의 감시
94,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,현장조작반(LCP) 패널 및 차단기 조작함 개폐 시 손가락이 끼어 다칠 수 있다.,도어 개폐 시 장갑을 착용한다.
95,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,현장조작반(LCP) 패널 및 차단기 조작함 개폐 시 손가락이 끼어 다칠 수 있다.,점검 중 도어측에 손가락 위치 주의
96,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,현장조작반(LCP) 패널 및 차단기 조작함 개폐 시 손가락이 끼어 다칠 수 있다.,신체로부터 도전성 패용품 제거
97,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,현장조작반 내부 결선 점검 중 제어전원부(충전부)에 의한 감전의 위험이 있다.,제어배선 점검 시 제어전원부(충전부) 위치 확인
98,광주본부,광주전기사업소,변전팀,가스절연개폐장치 순회점검,현장조작반 내부 결선 점검 중 제어전원부(충전부)에 의한 감전의 위험이 있다.,전원부 점검 시 장갑 착용
99,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,야간 차량 이동시 교통사고의 위험이 있다.,운전자 안전교육
100,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,야간 차량 이동시 교통사고의 위험이 있다.,보조석 탑승자의 전방감시 보조
101,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,야간 차량 이동시 교통사고의 위험이 있다.,졸음운전방지기구 설치 운영 중
102,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,RC-BANK함체 고정용 지선에 걸려 얼굴 등에 충격을 받아 신체 손상의 우려가 있다.,작업환경 사전 인지 교육
103,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,RC-BANK함체 고정용 지선에 걸려 얼굴 등에 충격을 받아 신체 손상의 우려가 있다.,지선케이블에 충격완화와 시인성 확보를 위한 보호관 설치
104,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,RC-BANK함체 고정용 지선에 걸려 얼굴 등에 충격을 받아 신체 손상의 우려가 있다.,휴대용 조명등 소지(조도확보)
105,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,RC BANK 고정식 사다리 이용 중 추락의 위험이 있다.,사다리 승하강 안전교육(마지막 발판까지 발디딤 및 양손 사용)
106,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,RC BANK 고정식 사다리 이용 중 추락의 위험이 있다.,웨어러블 에어백 안전조끼 등 안전보호구 착용
107,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,RC BANK 상부 작업 중 미끄러운 재질의 지붕으로 인한 몸 균형을 상실하여 추락할 위험이 있다.,RC BANK 상부 작업환경 교육
108,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,RC BANK 상부 작업 중 미끄러운 재질의 지붕으로 인한 몸 균형을 상실하여 추락할 위험이 있다.,안전난간 설치
109,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,RC BANK 상부 작업 중 미끄러운 재질의 지붕으로 인한 몸 균형을 상실하여 추락할 위험이 있다.,웨어러블 에어백 안전조끼 및 추락방지대 등 안전보호구 착용
110,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,RC BANK 상부 작업 중 미끄러운 재질의 지붕으로 인한 몸 균형을 상실하여 추락할 위험이 있다.,이동형 조명기구 설치 후 작업
111,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,RC BANK 점검 시 콘덴서 등의 충전전하에 감전의 위험이 있다.,해당 구간 단전 확인(차단기 및 단로기 개방)
112,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,RC BANK 점검 시 콘덴서 등의 충전전하에 감전의 위험이 있다.,작업 전 방전조치 시행 (해당 기기의 접지개폐기 투입 및 검전기 확인)
113,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,"상부 작업 중 공구, 계측기 등을 놓쳐 하부 작업자가 공구에 맞을 위험이 있다.",안전모 등 안전보호구 착용
114,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,"상부 작업 중 공구, 계측기 등을 놓쳐 하부 작업자가 공구에 맞을 위험이 있다.",작업자 간 작업절차 상호 의사소통
115,광주본부,광주전기사업소,변전팀,콘덴서 및 R-C뱅크 점검,"상부 작업 중 공구, 계측기 등을 놓쳐 하부 작업자가 공구에 맞을 위험이 있다.",보조자는 안전모를 착용하고 작업자의 공구를 들고 있는 반대쪽에서 보조
116,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",장거리 차량운행시 교통사고의 위험이 있다.,운전자 안전교육
117,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",장거리 차량운행시 교통사고의 위험이 있다.,보조석 탑승자의 전방감시 보조
118,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",장거리 차량운행시 교통사고의 위험이 있다.,졸음운전방지기구 설치 운영 중
119,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실 이동 시 시설물 높이가 낮아 부딪힘으로 인한 신체손상의 위험이 있다.,안전보호구 착용
120,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실 이동 시 시설물 높이가 낮아 부딪힘으로 인한 신체손상의 위험이 있다.,실내 속보이동 금지
121,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실 이동 시 시설물 높이가 낮아 부딪힘으로 인한 신체손상의 위험이 있다.,두부 충격 방지를 위한 위험표지 부착
122,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실 이동 시 시설물 높이가 낮아 부딪힘으로 인한 신체손상의 위험이 있다.,작업 전 작업장 환경인지 교육
123,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실 이동 시 시설물 높이가 낮아 부딪힘으로 인한 신체손상의 위험이 있다.,충격완화패드 부착
124,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS설비 바닥면에 시설물 기초부 돌출로 작업장 이동 시 걸려넘어질 위험이 있다.,실내 속보이동 금지
125,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS설비 바닥면에 시설물 기초부 돌출로 작업장 이동 시 걸려넘어질 위험이 있다.,안전보호구 착용
126,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS설비 바닥면에 시설물 기초부 돌출로 작업장 이동 시 걸려넘어질 위험이 있다.,작업 전 작업장 환경인지 교육
127,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실은 이산화탄소소화설비 설치개소로 점검 중 이산화탄소 누출 시 질식사고 등의 위험이 있다.,이산화탄소소화설비 안전교육
128,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실은 이산화탄소소화설비 설치개소로 점검 중 이산화탄소 누출 시 질식사고 등의 위험이 있다.,출입 전 산소 등 유해가스농도 측정
129,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실은 이산화탄소소화설비 설치개소로 점검 중 이산화탄소 누출 시 질식사고 등의 위험이 있다.,수신반 기동타이머 정지
130,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실은 이산화탄소소화설비 설치개소로 점검 중 이산화탄소 누출 시 질식사고 등의 위험이 있다.,CO2실 기동용기함 안전핀 체결
131,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실은 이산화탄소소화설비 설치개소로 점검 중 이산화탄소 누출 시 질식사고 등의 위험이 있다.,경보 발생 시 30초 이내 대피 교육
132,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실은 이산화탄소소화설비 설치개소로 점검 중 이산화탄소 누출 시 질식사고 등의 위험이 있다.,CO2소화설비 원상 조치 시 작업현장
133,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",GIS실은 이산화탄소소화설비 설치개소로 점검 중 이산화탄소 누출 시 질식사고 등의 위험이 있다.,인원 완전 철수 확인 후 기능 복귀
134,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",피뢰기 도수계 및 전류 확인 시 설비의 높이가 낮고 공간 협소로 불완전한 자세로 측정함에 따른 근골격계 부상 위험이 있다. ,작업 전후 및 중간 스트레칭 실시
135,광주본부,광주전기사업소,변전팀,"피뢰기, 방전장치 점검",피뢰기 도수계 및 전류 확인 시 설비의 높이가 낮고 공간 협소로 불완전한 자세로 측정함에 따른 근골격계 부상 위험이 있다. ,피뢰기 카운터 각도조절
136,광주본부,광주전기사업소,변전팀,"제어반, 보호계전기 점검",야간 차량 이동시 교통사고의 위험이 있다.,운전자 안전교육
137,광주본부,광주전기사업소,변전팀,"제어반, 보호계전기 점검",야간 차량 이동시 교통사고의 위험이 있다.,보조석 탑승자의 전방감시 보조
138,광주본부,광주전기사업소,변전팀,"제어반, 보호계전기 점검",야간 차량 이동시 교통사고의 위험이 있다.,졸음운전방지기구 설치 운영 중
139,광주본부,광주전기사업소,변전팀,"제어반, 보호계전기 점검",측정장비가 중량물로 계측기 운반 시 근골격계 부상위험이 있다.,중량물 운반 시 2인 1조 이상 운반
